furnitureId,furnitureName,furnitureImg,furnitureGenres,unitPrice,stock,categoryId_id,slug
10189700,SKTÃ„L,furniture/10189700.jpg,seating and tables|indoor seating|dining chairs,440,2,16,furnitureid-10189700
10189701,LOIACONO,furniture/10189701.jpg,seating and tables|indoor seating|dining chairs,495,3,16,furnitureid-10189701
10209647,ALGOTSSON,furniture/10209647.jpg,seating and tables|indoor seating|benches,845,2,12,furnitureid-10209647
10209649,SANDSONGE,furniture/10209649.jpg,seating and tables|indoor seating|benches,840,3,12,furnitureid-10209649
10243135,HEDÃN,furniture/10243135.jpg,seating and tables|indoor seating|dining chairs,255,2,16,furnitureid-10243135
10243136,MEJIA,furniture/10243136.jpg,seating and tables|indoor seating|dining chairs,400,3,16,furnitureid-10243136
10422900,SIGFRIDSSON,furniture/10422900.jpg,seating and tables|standalone tables|dining tables,945,2,18,furnitureid-10422900
10431352,TSERING,furniture/10431352.jpg,cabinets and shelving and storage|decorative accent decorative storage cabinets,595,4,1,furnitureid-10431352
10442695,ISBERG,furniture/10442695.jpg,storage chests and  cabinets + bookcases|shelving and bookcases|decorative bookshelf,275,1,36,furnitureid-10442695
10442697,HAALAND,furniture/10442697.jpg,storage chests and  cabinets + bookcases|shelving and bookcases|decorative bookshelf,645,2,36,furnitureid-10442697
10442700,VERNYUY,furniture/10442700.jpg,storage chests and  cabinets + bookcases|shelving and bookcases|decorative bookshelf,525,3,36,furnitureid-10442700
10547921,WILLIAMSON,furniture/10547921.jpg,seating and tables|standalone tables|coffee tables,720,1,13,furnitureid-10547921
10547924,HIRAYAMA,furniture/10547924.jpg,seating and tables|standalone tables|accent tables,320,3,4,furnitureid-10547924
10556355,ZEKRI,furniture/10556355.jpg,seating and tables|indoor seating|benches,995,4,12,furnitureid-10556355
10692202,JIUBESTÃ…SLA,furniture/10692202.jpg,seating and tables|standalone tables|console tables,585,3,44,furnitureid-10692202
10708598,FREIJ,furniture/10708598.jpg,bedroom beds and mattresses|headboards,620,1,21,furnitureid-10708598
10708600,CEDER,furniture/10708600.jpg,bedroom beds and mattresses|headboards,999.99,1,21,furnitureid-10708600
10728190,HERSEYELLE,furniture/10728190.jpg,seating and tables|standalone tables|dining tables,999.99,3,18,furnitureid-10728190
10728561,KAUNIETIS,furniture/10728561.jpg,seating and tables|table sets|dining table sets,999.99,1,17,furnitureid-10728561
10814170,SCHRAMMEL,furniture/10814170.jpg,cabinets and shelving and storage|decorative accent decorative storage cabinets,429,4,1,furnitureid-10814170
10814181,MARTINSSON,furniture/10814181.jpg,cabinets and shelving and storage|bath furniture cabinets|bathroom storage cabinets,495,2,6,furnitureid-10814181
10814183,BEVANDA,furniture/10814183.jpg,cabinets and shelving and storage|decorative accent decorative storage cabinets,645,2,1,furnitureid-10814183
11238603,SUNDELL,furniture/11238603.jpg,bedroom beds and mattresses|beds,999.99,1,11,furnitureid-11238603
11253877,UZNYS,furniture/11253877.jpg,bedroom beds and mattresses|headboards,819,2,21,furnitureid-11253877
11358386,SVÃSEN,furniture/11358386.jpg,seating and tables|standalone tables|dining tables,999.99,1,18,furnitureid-11358386
11358940,RINGDAHL,furniture/11358940.jpg,cabinets and shelving and storage|shelving and bookcases|decorative wall shelf,999.99,3,36,furnitureid-11358940
11389390,AHSOKA,furniture/11389390.jpg,seating and tables|standalone tables|accent tables,415,2,4,furnitureid-11389390
11389394,JUKNEVICIUTE,furniture/11389394.jpg,seating and tables|standalone tables|console tables,517,2,44,furnitureid-11389394
11623410,Ã…KERMAN,furniture/11623410.jpg,bedroom casegoods and accent nightstands|bedroom nightstands,560,1,9,furnitureid-11623410
